"Food","FCDB Food ID","Serving Size or CSM","Serving Size Unit","Quantity per 100 g","Nutrient Unit","Quantity per serve","Nutrient Unit","%DI Per Serve"
"Kumara, 'Purple Dawn', peeled, roasted","X10005","135","g","11","g","15","g",""
"Cherries, glace","W2","50","g","27","g","14","g",""
"Rice milk, Organic Rice Lactose Free Drink Original, Signature Range","C1007","250","mL","4.4","g","12","g",""
"Rice milk, Rice Drink Original, Rice Dream™, fortified vitamins A, D & B12, Ca & P","C1004","250","mL","3.9","g","11","g",""
"Rice milk, Rice Drink Vanilla, Rice Dream™, fortified vitamins A, D & B12, Ca & P","C1005","250","mL","3.9","g","11","g",""
"Rice milk, Original Lactose Free Beverage Low Fat & Natural, Rice Dream™","C1001","250","mL","3.9","g","10","g",""
"Bread, sprouted wheat, sliced, toasted","A1192","80","g","12","g","9.8","g",""
"Bread, sprouted wheat, loaf, as purchased","A1191","80","g","12","g","9.4","g",""
"Pizza base, thick, from white flour, no topping","A1147","235","g","3.4","g","7.9","g",""
"Rice milk, Protein & Calcium Enriched, Vitasoy®, fortified Ca & P","C1003","250","mL","2.4","g","6.5","g",""
"Pizza base, thin, from white flour, no topping","A1146","175","g","3.4","g","5.9","g",""
"Just Right®, Original Kellogg's®, fortified vitamins B1, B2, B3 & folate, & Fe","D1043","53","g","10","g","5.4","g",""
"Soft drink, tonic water","C79","250","mL","2.1","g","5.4","g",""
"Sports drink, flavoured, Lucozade","C18","250","mL","2.0","g","5.3","g",""
"Kumara, Gold, flesh, raw","X1054","135","g","3.8","g","5.1","g",""
"Frozen meal, lasagne topper, baked or microwaved","H10015","128","g","3.7","g","4.8","g",""
"Chocolate bar, peanut, Moro, Cadbury","W68","69","g","7.0","g","4.8","g",""
"Baked beans, canned in tomato sauce, Wattie's®","X1001","210","g","2.2","g","4.6","g",""
"Baked beans, canned in tomato sauce, Pams","X1002","210","g","2.2","g","4.6","g",""
"Chocolate bar, Mars","W6","60","g","7.3","g","4.4","g",""
"Pasta & sauce, dry mix,  assorted flavours","E1060","102","g","4.0","g","4.1","g",""
"Chocolate bar & bite size, Moro, Cadbury","W1009","65","g","6.3","g","4.1","g",""
"Kumara, Orange, flesh, raw","X1055","135","g","2.9","g","4.0","g",""
"Rice milk, Get Natural®, fortified Ca & P","C1006","250","mL","1.4","g","3.9","g",""
"Muffin split, English style, wholegrain, toasted","A1204","65","g","6.1","g","3.9","g",""
"Chocolate  bar, Snickers, Mars","W51","61","g","6.2","g","3.8","g",""
"Baked beans, canned in tomato sauce","X1004","210","g","1.8","g","3.7","g",""
"Bread, white, sliced, toasted","A1162","80","g","4.7","g","3.7","g",""
"Oat milk, unsweetened","C1125","250","mL","1.4","g","3.6","g",""
"Oat milk, unsweetened, fortified Ca","C1151","250","mL","1.4","g","3.6","g",""
"All Bran® Honey Almond, Kellogg's®, fortified vitamins B1, B2 , B3, B6 & folate, Fe, & Zn","D1021","45","g","8.0","g","3.6","g",""
"Oat milk, unsweetened, fortified Ca & vitamin D","C1150","250","mL","1.4","g","3.6","g",""
"Muffin split, English style, wholegrain, as purchased","A1203","65","g","5.5","g","3.5","g",""
"Bread, multigrain, light, sliced, toasted","A1170","80","g","4.2","g","3.4","g",""
"Bread, wheatmeal, sliced, toasted","A1166","80","g","4.2","g","3.3","g",""
"Peel, mixed from assorted citrus, sugar-sweetened","L10116","40","g","8.0","g","3.2","g",""
"Sausage roll, individual size, microwaved","H1043","110","g","2.9","g","3.2","g",""
"Bread, wheat, soy & linseed added, sliced, toasted","A1172","80","g","3.8","g","3.1","g",""
"Snack, kumara chips, plain or assorted flavours","U1024","30","g","10","g","3.1","g",""
"Pie, Cornish pasty","N4","140","g","2.2","g","3.1","g",""
"Muffin split, English style, white, plain, toasted","A1198","65","g","4.8","g","3.1","g",""
"Bread, white, sliced, as purchased","A1161","80","g","3.9","g","3.1","g",""
"Boysenberry, raw","L40","133","g","2.4","g","3.1","g",""
"Bread, wholemeal or wholegrain, sliced, toasted","A1164","80","g","3.7","g","3.0","g",""
"Flour, wheat, wholemeal","E1091","124","g","2.4","g","3.0","g",""
"Patty, burger, chicken, crumbed, frozen, pan-fried with oil","N1055","100","g","3.0","g","3.0","g",""
"Bread, naan, white, restaurant","A1124","145","g","2.1","g","3.0","g",""
"Pie, savoury, chicken, individual size, ready to eat","H1056","229","g","1.3","g","2.9","g",""
"Bread, white, seeds added, light, sliced, toasted","A1176","80","g","3.5","g","2.8","g",""
"Frozen meal, roast pork with mashed potato & vegetables, microwaved","H10006","440","g","0.6","g","2.8","g",""
"Bread, multigrain, light, sliced, as purchased","A1169","80","g","3.5","g","2.8","g",""
"Fruit drink, golden pash, Golden Circle™, fortified vitamin C","C129","250","mL","1.1","g","2.8","g",""
